Objeto,ActivoRender,Colecciones,Xmin_m,AlturaMin_m,Zmin_m,Xmax_m,AlturaMax_m,Zmax_m,DX_m,Altura_m,DZ_m,EscalaX,EscalaY,EscalaZ,Alertas_no_dictamen
Ducha baño mono | boquilla 39,True,GROUND_FLOOR,21.282697671558708,2.3099000453948975,4.615356439258903,21.28549767145887,2.312000036239624,4.6181564391590655,0.00279999990016222,0.0020999908447265625,0.00279999990016222,1.0,1.0,1.0,
Ducha baño mono | boquilla 40,True,GROUND_FLOOR,21.280601495411247,2.3099000453948975,4.599097722675651,21.28340149531141,2.312000036239624,4.6018977225758135,0.00279999990016222,0.0020999908447265625,0.00279999990016222,1.0,1.0,1.0,
Ducha baño mono | boquilla 41,True,GROUND_FLOOR,21.282459252979606,2.3099000453948975,4.582810395862907,21.28525925287977,2.312000036239624,4.585610395763069,0.00279999990016222,0.0020999908447265625,0.00279999990016222,1.0,1.0,1.0,
Ducha baño mono | boquilla 42,True,GROUND_FLOOR,21.28815841069445,2.3099000453948975,4.567440503742546,21.290958410594612,2.312000036239624,4.570240503642708,0.00279999990016222,0.0020999908447265625,0.00279999990016222,1.0,1.0,1.0,
Ducha baño mono | boquilla 43,True,GROUND_FLOOR,21.297372811939567,2.3099000453948975,4.55388163914904,21.30017281183973,2.312000036239624,4.556681639049202,0.00279999990016222,0.0020999908447265625,0.00279999990016222,1.0,1.0,1.0,
Ducha baño mono | boquilla 44,True,GROUND_FLOOR,21.309562677051872,2.3099000453948975,4.542921537067741,21.312362676952034,2.312000036239624,4.545721536967903,0.00279999990016222,0.0020999908447265625,0.00279999990016222,1.0,1.0,1.0,
Ducha baño mono | boquilla 45,True,GROUND_FLOOR,21.324022287037224,2.3099000453948975,4.535197251942009,21.326822286937386,2.312000036239624,4.537997251842171,0.00279999990016222,0.0020999908447265625,0.00279999990016222,1.0,1.0,1.0,
Ducha baño mono | boquilla 46,True,GROUND_FLOOR,21.33990859379992,2.3099000453948975,4.531157487537712,21.34270859370008,2.312000036239624,4.533957487437874,0.00279999990016222,0.0020999908447265625,0.00279999990016222,1.0,1.0,1.0,
Ducha baño mono | boquilla 47,True,GROUND_FLOOR,21.356302255298942,2.3099000453948975,4.531037801411003,21.359102255199105,2.312000036239624,4.533837801311165,0.00279999990016222,0.0020999908447265625,0.00279999990016222,1.0,1.0,1.0,
Ducha baño mono | boquilla 48,True,GROUND_FLOOR,21.372247689869255,2.3099000453948975,4.53484391560778,21.375047689769417,2.312000036239624,4.537643915507942,0.00279999990016222,0.0020999908447265625,0.00279999990016222,1.0,1.0,1.0,
